TeamID,Overall,Attack,Midfield,Defence
1793,71,71,72,71
1797,68,68,68,67
1807,70,69,70,69
1806,70,70,70,70
1960,71,73,71,72
1795,74,74,74,73
1933,67,65,66,68
112259,63,64,62,63
110313,64,64,64,64
1926,65,65,64,65
1962,64,64,62,64
15015,64,65,63,65
89,66,66,65,64
121,64,64,65,62
142,65,64,66,62
112260,65,65,64,64
1802,64,64,64,64
1952,67,68,66,66
94,65,66,65,65
149,65,64,66,64
1798,64,65,63,63
1930,63,62,63,62
1951,65,65,66,65
1938,66,68,66,66
1929,64,64,64,63
1790,66,66,66,65
1955,63,61,63,63
127,64,64,65,64
106,66,68,65,65
1934,63,62,63,63
1917,64,64,64,63
381,61,61,61,61
4,63,64,63,63
1804,62,62,62,63
1944,62,64,63,62
1480,62,62,63,62
1936,63,62,63,64
1935,62,61,63,62
110890,62,62,61,62
143,62,64,64,62
561,62,62,63,62
92,61,60,59,59
112222,61,62,61,61
1958,62,64,61,61
1940,62,60,63,62
357,62,64,63,61
112254,62,60,63,63
1920,62,63,62,61
1928,62,62,63,62
113926,63,63,63,64
1949,62,62,62,61
1954,61,60,61,61
361,62,63,60,62
15048,62,63,63,62
1803,61,61,61,62
100325,64,65,64,64
614,67,67,68,66
57,69,70,69,68
1823,65,65,65,65
1816,68,65,67,68
1813,66,68,66,64
1815,67,64,68,68
294,69,68,69,71
62,68,68,69,69
112627,64,62,63,63
226,67,67,66,67
1805,67,66,68,68
212,65,64,65,64
1738,66,67,67,66
111817,67,64,67,68
110321,65,66,65,65
111659,66,68,66,65
210,68,69,67,67
1809,69,67,68,70
111276,65,65,65,65
110456,67,62,67,66
111235,69,71,68,71
171,69,68,70,68
110500,67,67,67,66
506,68,71,69,67
110329,68,70,68,68
110197,66,65,66,66
110636,71,71,71,70
28,71,73,70,71
485,70,70,70,71
576,69,70,73,68
1832,68,68,69,68
10030,69,70,69,69
543,67,67,67,66
110502,69,71,69,68
110178,68,69,67,68
165,69,70,69,69
160,70,70,70,71
487,67,67,67,67
29,65,66,65,64
110588,63,62,64,63
523,64,64,63,63
110679,63,65,64,61
27,65,65,65,66
111239,66,68,65,66
110592,63,63,63,62
110482,64,67,63,64
167,64,62,64,65
1825,64,66,64,63
110501,64,65,64,62
503,66,66,65,67
110597,64,63,63,64
110532,65,65,65,65
492,65,64,65,64
172,64,65,64,63
33,65,68,65,66
114398,64,64,63,63
1829,62,63,63,62
110645,65,64,65,64
278,72,73,73,70
280,76,76,76,72
393,73,73,73,72
1884,71,71,70,69
650,66,65,66,65
1906,74,74,74,73
245,78,80,77,76
100628,67,69,67,67
1915,68,66,68,69
1908,68,68,66,67
1903,71,71,72,70
246,75,76,74,75
634,67,70,68,67
100634,66,66,66,65
1914,67,67,67,67
247,76,79,76,77
1905,66,65,66,66
1913,69,72,71,67
100646,67,68,67,66
100651,67,69,66,66
1909,70,68,70,71
1907,69,70,68,68
1369,83,86,82,80
1415,72,71,71,71
1322,77,81,78,78
1325,83,85,83,80
111451,66,59,66,66
1370,80,81,80,80
1327,67,67,68,66
1395,70,72,71,70
111455,73,73,74,69
111459,75,74,76,73
1413,71,74,68,70
111109,78,81,79,77
1330,77,76,76,76
111112,76,77,75,76
1331,78,76,82,78
111465,73,74,72,75
111130,73,78,73,72
1318,83,85,83,81
1334,71,70,71,68
1335,85,87,85,82
1337,84,84,85,84
1338,74,72,75,72
1886,72,72,69,72
1341,71,70,71,69
111466,60,62,60,60
1343,82,83,82,82
1386,76,78,76,75
105035,82,81,83,83
111473,68,72,66,67
110081,70,67,71,71
1352,76,79,77,74
1375,73,72,74,72
111108,72,71,73,71
1353,77,82,74,74
1354,83,85,82,82
1355,73,71,72,75
1356,73,72,74,71
1357,76,77,76,76
1359,75,72,76,76
1361,73,70,73,71
111099,71,71,71,71
1362,84,82,83,82
1363,76,78,76,75
1364,78,75,78,77
1365,77,79,76,75
1387,74,75,74,72
1377,79,79,79,78
111487,71,74,70,69
1367,74,77,74,72
111811,71,72,67,68
190,69,69,67,69
192,70,69,71,69
1746,69,70,69,68
347,70,70,69,69
112791,69,72,68,68
101148,68,67,69,67
101150,68,70,67,68
112093,68,68,68,70
112444,66,66,65,68
101147,69,74,68,66
101145,67,67,66,66
111730,70,73,69,70
112092,68,68,68,67
113183,65,65,64,65
113160,65,63,64,64
113157,68,69,66,69
101149,67,67,66,65
113161,65,66,64,63
111575,69,70,65,70
112836,65,66,64,65
101146,69,70,70,68
101151,69,68,70,69
113197,66,67,63,64
1476,62,65,61,60
2056,65,67,65,64
982,67,68,68,63
112115,64,67,63,65
112258,65,66,65,63
110765,66,66,65,67
1477,70,71,71,68
1474,66,64,65,67
2055,66,63,64,67
981,64,64,64,63
983,67,65,68,67
1473,69,69,69,70
114577,65,64,65,66
115358,65,65,65,64
110968,67,68,67,67
114600,65,67,64,65
110974,66,67,66,65
112667,64,66,63,63
110969,67,68,68,66
112678,69,71,68,67
1879,73,74,73,73
101114,71,70,70,69
110781,73,74,73,72
101121,68,68,67,68
111678,70,73,68,68
1878,74,77,73,73
1882,70,70,70,70
113134,69,71,69,68
1880,71,75,72,68
114899,69,73,67,65
1032,74,75,75,74
110147,71,70,69,72
110152,68,68,69,64
110150,67,71,68,65
110144,71,70,70,68
1970,75,77,75,73
1881,71,74,70,70
1755,62,63,62,61
918,67,62,67,68
1463,62,65,60,64
1524,63,62,64,62
113459,64,62,64,64
112420,61,62,62,60
417,69,70,69,68
1456,64,64,63,65
298,68,68,69,67
919,65,65,65,65
1757,63,64,63,63
112199,64,62,64,64
917,64,64,62,63
922,64,64,62,64
300,66,67,65,63
920,64,63,64,64
111007,65,68,65,64
112716,68,70,68,64
111008,73,69,72,72
114688,66,66,66,66
112671,65,63,64,65
101108,71,70,70,69
114575,64,63,61,64
114619,65,65,65,65
111334,65,65,65,65
114511,65,64,67,64
111013,68,67,68,68
114617,66,64,67,64
111014,67,68,66,66
110747,66,66,65,64
420,65,66,65,64
110745,67,67,66,65
873,68,69,69,67
111091,66,69,65,66
1871,69,69,69,66
111086,65,65,65,66
111087,63,64,62,62
110746,67,61,67,65
114326,66,67,67,66
114004,63,63,64,63
112511,63,65,63,62
1873,66,63,64,65
1569,64,63,64,64
110749,65,57,66,62
111092,65,65,65,61
1898,70,70,70,69
1891,68,69,68,67
112516,68,69,67,70
1893,69,69,67,68
1892,71,71,73,72
236,78,79,79,77
112809,69,70,71,69
489,69,67,69,69
1888,69,69,69,70
1900,69,71,69,69
1889,69,68,68,70
10031,69,68,70,67
744,71,71,71,72
1896,75,74,76,75
234,79,77,79,78
1438,70,70,69,70
237,78,78,81,77
1887,72,74,71,71
305,60,59,59,60
422,54,54,55,53
445,57,59,57,58
837,63,64,63,61
111131,58,58,58,58
306,63,62,62,63
834,56,57,56,56
563,59,53,59,60
423,60,60,61,60
753,57,57,57,57
113391,64,65,64,64
112847,65,65,65,66
110816,69,68,69,70
113387,64,64,64,64
100757,65,63,67,64
100759,63,66,63,63
110752,65,61,66,65
114147,63,62,64,63
113180,66,63,66,66
113182,64,64,64,64
100761,68,70,67,68
112637,64,64,65,63
110815,62,59,62,62
113378,64,63,64,64
110750,63,63,63,62
308,68,69,67,68
100765,74,73,73,73
315,74,74,73,73
100767,75,74,76,74
113058,65,65,66,63
112387,70,76,70,67
114143,65,62,67,64
112990,65,64,66,63
112389,66,67,66,65
112390,65,67,65,64
605,73,73,74,72
607,69,70,71,67
112139,70,78,68,69
112391,64,67,65,64
112392,66,69,66,64
111674,70,75,72,67
112393,66,73,67,65
112408,67,68,69,65
113217,65,64,64,64
112096,66,66,68,63
77,66,60,67,64
78,73,75,73,72
181,64,65,64,64
184,62,62,62,63
81,67,68,67,66
82,64,66,65,63
621,65,65,65,64
83,65,64,65,62
86,74,75,74,75
631,62,63,62,62
100804,65,63,65,65
100805,64,64,65,63
110929,69,71,66,67
110930,69,70,67,68
100831,67,67,65,67
1854,66,66,67,65
100852,68,68,69,66
100888,72,72,71,73
110831,67,68,67,66
110069,67,67,66,68
260,69,70,69,68
15021,66,68,65,66
110065,68,67,68,67
100851,67,68,67,65
110062,71,73,69,68
573,69,69,70,68
452,75,75,76,74
453,73,72,73,72
480,71,69,71,70
110827,69,71,69,69
459,71,71,70,70
244,68,70,67,69
2023,68,71,68,67
1861,72,74,72,71
472,69,70,69,69
476,67,68,68,66
433,67,65,68,68
711,66,64,66,68
710,67,66,66,68
112169,61,61,60,61
708,67,66,68,67
432,63,64,62,59
700,65,64,67,65
319,68,70,68,67
702,66,67,69,64
113458,63,63,63,62
1439,63,64,63,62
320,69,69,70,69
112072,61,62,62,59
113743,62,62,63,62
705,64,64,63,62
113173,63,62,62,63
900,72,72,72,72
896,71,72,71,71
1862,65,66,66,63
10032,67,66,67,66
897,68,69,67,67
110770,67,69,66,66
898,66,64,71,64
286,62,60,63,63
894,66,60,67,64
324,67,68,67,67
113142,71,71,71,72
741,70,74,70,68
101033,69,68,68,70
749,68,71,67,66
327,74,75,74,73
1457,67,61,68,66
111117,71,72,73,68
326,75,74,76,75
325,75,77,73,74
110776,70,70,70,70
101025,69,71,69,68
101026,69,70,70,68
101028,69,71,70,68
111339,70,72,70,70
101020,70,70,71,68
101007,70,68,69,70
101014,74,74,75,73
101041,71,71,72,69
436,72,74,73,70
113259,69,71,68,70
101037,71,73,69,70
111701,68,75,67,66
112885,69,72,69,68
693,68,72,70,66
694,69,70,71,68
687,71,72,72,70
688,70,67,68,66
113149,68,71,68,67
695,69,67,70,68
698,68,65,69,68
112893,71,74,71,70
697,69,77,70,67
112996,69,73,69,68
111138,71,74,70,70
111139,68,69,69,67
114162,68,69,70,67
691,68,72,67,66
112828,70,71,69,70
689,68,69,68,67
112606,71,69,71,67
112134,70,70,70,69
111140,71,72,71,69
111065,68,67,68,67
111928,68,70,70,66
111144,71,72,73,67
696,69,71,67,69
111651,70,68,72,69
101112,68,71,69,66
101047,74,70,74,73
101059,75,71,75,73
111002,64,61,63,62
115536,62,61,61,63
113143,64,63,64,66
111325,71,74,70,68
101110,68,68,69,65
115535,65,61,63,62
110992,59,59,59,59
114611,62,63,61,60
112916,62,65,61,61
112853,66,69,66,64
110990,63,65,63,63
112914,65,66,65,65
